# Strain_x(Poisson) Strain_y(Poisson) Strain_z(longitudinal) Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
-0.0567526175703219 -0.0674851658696009 0.017 0.00230225424668003 0.0131496114955412 0.0481847268693338 0.0415350801281757
-0.0574703851718934 -0.0686168155515194 0.0172499999999999 0.00570987615522685 0.00905684877823345 0.0532674991616679 0.0459755986317101
-0.058244242752213 -0.0699296085825609 0.0174999999999999 3.54493493351691e-05 0.00715118274792731 0.0539442207547583 0.0507266089057348
-0.0588859596276719 -0.0713306980803481 0.0177499999999999 0.00250154206904445 0.0153213247982654 0.0524708024747583 0.044951960504269
-0.0594460598773752 -0.0729102982588294 0.018 0.00444615876893812 -0.000588353136570341 0.0473562856200312 0.0456361352548867
-0.0600650210530503 -0.0742544361971236 0.01825 0.000105256799990676 0.0010554455461291 0.0500225538736254 0.049449050060378
-0.0606314916469068 -0.0753031400361002 0.0184999999999998 0.00249103974019398 -0.00339253049666754 0.0530169794096962 0.0537099608363961
-0.061173735676705 -0.0760186208012097 0.01875 0.00503128966659169 -3.41202097113567e-05 0.0537807823724287 0.0514694820073829
-0.0618491181448187 -0.0766271553541371 0.0189999999999999 0.00620867588830937 0.0107688892477597 0.0581236610957193 0.049791744555406
-0.0626673407882507 -0.0774793087911672 0.0192499999999999 0.00976891734620857 0.0123033272559699 0.0578406744300299 0.0468559870793877
-0.0636996279739656 -0.0786041929586271 0.0195 0.00818247837506884 0.00395011304334519 0.0574284509955463 0.0514927731131652
-0.0648961279919758 -0.0796675257466237 0.01975 0.0055127483915801 -0.00127596484002361 0.0565656333609317 0.0547637387943681
-0.066022812763308 -0.0804215836600148 0.02 -0.00316023051550133 -0.00659217193256825 0.0413546872809103 0.0463263285656688
-0.0667666423746697 -0.0807893233066259 0.0202499999999999 -2.27520790331632e-05 0.00259944834873046 0.0444207206040684 0.0431921116193227
-0.0672881892753163 -0.0811453496449429 0.0204999999999999 -0.000275773072704085 0.00540409086629835 0.0452867822664833 0.0430048623804593
-0.0677639394190735 -0.0816515304186617 0.0207499999999999 0.00843882391141263 0.00983341952933053 0.054186845810578 0.0450669104083588
-0.0684661303969456 -0.0824259572387222 0.021 0.0108668214697666 0.002983322529365 0.0488602312815691 0.0424872892835548
-0.0694569724499157 -0.0831457333746491 0.02125 0.00549464937060642 -0.0123580860034915 0.0423469699679286 0.0483190275284054
-0.0705434673316873 -0.0833864600656546 0.0214999999999999 0.0038494754016387 0.00354514943845611 0.0462083148370881 0.0425118193826204
-0.0716178472030737 -0.0836633895340139 0.0217499999999999 0.0035225719058244 0.00676490594710444 0.0549233401087477 0.049858732849859
-0.0726230501066753 -0.0841593966924261 0.0219999999999999 0.0033002250593109 0.0102429206257934 0.0602836315880306 0.05384878083556
-0.0735421404039463 -0.0849439155602296 0.02225 0.00350725119511521 0.00968819276186936 0.0665160480151017 0.0601569515851506
-0.074380128593325 -0.0859883915023532 0.0225 -0.00223733675772716 0.00984592156260062 0.0621430342488444 0.0592698291624721
-0.0750159462192795 -0.0871936485606626 0.0227499999999998 0.00230845388703622 0.00761785059506734 0.068005555304659 0.0632098635822508
-0.0755816110419526 -0.0884107694834584 0.0229999999999999 -0.000670079484110549 0.00353437341010972 0.0620822463917734 0.060759300759842
-0.0759853885787169 -0.089525639788618 0.0232499999999999 -0.00609302886585294 0.00399475824929253 0.0596887802676219 0.0613629935316538
-0.0761727279668871 -0.0906594054326099 0.0234999999999999 0.00575839757525637 0.00964598909445177 0.0625112766684829 0.054912390603012
-0.076509133990526 -0.0918868688428933 0.02375 0.0038029520147255 0.000471336698805798 0.0601988117274436 0.0581333119934105
-0.076972406690434 -0.0928631711904305 0.024 0.00712186925788868 -0.00104289089130755 0.0514718606134788 0.0489458076199805
